iter	Passed	Remaining
403	6636	9790
404	6652	9773
405	6666	9753
406	6679	9732
407	6694	9713
408	6709	9694
409	6727	9681
410	6744	9665
411	6759	9647
412	6775	9630
413	6790	9612
414	6808	9597
415	6822	9577
416	6839	9561
417	6856	9546
418	6869	9525
419	6881	9503
420	6896	9484
421	6911	9466
422	6923	9444
423	6939	9426
424	6952	9405
425	6963	9382
426	6983	9371
427	7010	9369
428	7029	9355
429	7043	9336
430	7059	9319
431	7072	9298
432	7086	9279
433	7101	9260
434	7112	9237
435	7131	9225
436	7146	9207
437	7160	9187
438	7178	9172
439	7191	9152
440	7207	9135
441	7220	9115
442	7234	9095
443	7246	9074
444	7261	9056
445	7276	9038
446	7291	9020
447	7306	9002
448	7322	8986
449	7335	8966
450	7350	8947
451	7366	8931
452	7382	8914
453	7397	8896
454	7414	8880
455	7426	8859
456	7439	8839
457	7453	8821
458	7467	8801
459	7482	8783
460	7507	8777
461	7525	8763
462	7541	8746
463	7559	8732
464	7579	8720
465	7593	8702
466	7608	8683
467	7623	8665
468	7636	8646
469	7649	8625
470	7661	8604
471	7689	8601
472	7705	8585
473	7718	8564
474	7730	8543
475	7763	8546
476	7791	8543
477	7814	8533
478	7828	8514
479	7846	8500
480	7859	8480
481	7879	8467
482	7899	8455
483	7917	8441
484	7940	8432
485	7966	8425
486	7985	8411
487	7999	8393
488	8033	8394
489	8095	8425
490	8121	8419
491	8143	8408
492	8182	8415
493	8207	8406
494	8221	8387
495	8235	8368
496	8251	8350
497	8267	8333
498	8285	8318
499	8298	8298
500	8310	8277
501	8327	8261
502	8341	8242
503	8361	8228
504	8373	8207
505	8389	8190
506	8401	8169
507	8413	8148
508	8430	8132
509	8446	8115
510	8462	8098
511	8480	8082
512	8494	8063
513	8507	8044
514	8522	8026
515	8537	8007
516	8552	7990
517	8568	7972
518	8580	7951
519	8591	7931
520	8603	7910
521	8622	7895
522	8638	7878
523	8653	7861
524	8668	7842
525	8682	7823
526	8697	7805
527	8711	7787
528	8724	7767
529	8739	7749
530	8755	7733
531	8770	7715
532	8785	7697
533	8800	7679
534	8815	7662
535	8830	7644
536	8844	7625
537	8855	7604
538	8870	7586
539	8885	7569
540	8902	7552
541	8918	7536
542	8935	7520
543	8949	7501
544	8961	7482
545	8976	7464
546	8992	7447
547	9008	7430
548	9024	7413
549	9038	7395
550	9048	7373
551	9063	7355
552	9078	7338
553	9094	7321
554	9107	7302
555	9122	7284
556	9135	7265
557	9150	7248
558	9163	7229
559	9176	7210
560	9192	7193
561	9207	7176
562	9219	7156
563	9233	7137
564	9246	7118
565	9261	7101
566	9274	7082
567	9290	7065
568	9305	7048
569	9318	7029
570	9328	7008
571	9349	6995
572	9364	6978
573	9378	6960
574	9391	6941
575	9406	6924
576	9420	6906
577	9442	6893
578	9458	6877
579	9471	6858
580	9485	6840
581	9500	6823
582	9515	6806
583	9530	6789
584	9547	6772
